item,total_qty,weeks_observed,units_per_week_all,units_per_week_13w,occurrences,package_volume
"Perdue Harvestland, Free Range, Fresh Chicken Breast Tenderloin Pieces, 0.8-1.7lb. Tray",10.00,61.71,0.1620,0.3077,10,1.7lb
"Fresh Red Bell Pepper, 1 Each",9.00,61.71,0.1458,0.3077,9,1 Each
"Fresh Whole Yellow Onion, Each",9.00,61.71,0.1458,0.3846,9,
"Fresh Slicing Tomato, Each",9.00,61.71,0.1458,0.5385,4,
"Mission Super Soft Flour Tortillas, Soft Taco Size, 10 Count",9.00,61.71,0.1458,0.0000,6,10 Count
"Fresh Hass Avocados, Each",9.00,61.71,0.1458,0.3846,4,
"Green Bell Pepper, 1 each",9.00,61.71,0.1458,0.1538,9,1 each
SunButter Original Sunflower Seed Butter 16 oz Jar,9.00,61.71,0.1458,0.0000,9,16 oz
"Snack Factory Original Pretzel Crisps, Non-GMO, 14 oz Party Size Bag",9.00,61.71,0.1458,0.0769,9,14 oz
"Hellmann's Real Mayonnaise Rich Creamy Condiment Gluten Free, 20 oz Squeeze Bottle",9.00,61.71,0.1458,0.3077,9,20 oz
"Kraft Mexican Style Cheddar Jack Shredded Cheese, 16 oz Bag",8.00,61.71,0.1296,0.0000,6,16 oz
"Great Value Wide Egg Noodles, 16 oz",8.00,61.71,0.1296,0.1538,7,16 oz
"PopCorners No Artificial Colors or Flavors Kettle Corn Popped Corn Chips Bag, 7 oz​",8.00,61.71,0.1296,0.3077,8,7 oz
"Progresso Rich and Hearty Chicken and Homestyle Noodles Canned Soup, 19 oz",8.00,61.71,0.1296,0.3077,2,19 oz
"OREO Cakesters Soft Snack Cakes, 5 - 2.02 oz Snack Packs",8.00,61.71,0.1296,0.0000,6,2.02 oz
"Stauffer's Original Animal Snack Crackers, 32 oz Party Size Pillow Bag, Low Fat Snack for Kids & Adults",8.00,61.71,0.1296,0.1538,8,32 oz
"Little Debbie Vanilla Christmas Tree Cakes, 8.52 oz, 5 Count",8.00,61.71,0.1296,0.1538,5,8.52 oz
"Jet-Puffed Mini Marshmallows, 10 oz Bag",8.00,61.71,0.1296,0.4615,4,10 oz
"Great Value Mild Cheddar Finely Shredded Cheese, 8 oz Bag",7.00,61.71,0.1134,0.0000,7,8 oz
Crunchmaster Multi-Grain Sea Salt Crackers 4oz,7.00,61.71,0.1134,0.0000,5,4oz
"Cholula Kosher Green Pepper Hot Sauce, 5.0 fl oz Bottle",7.00,61.71,0.1134,0.1538,6,5.0 fl oz
"Thomas' Cinnamon Raisin Bagels, 6 count, 9g Protein, Kosher Bagels, 20 oz Bag",7.00,61.71,0.1134,0.0000,5,6 count
"The Cheesecake Factory At Home Famous ""Brown Bread"" Wheat Dinner Rolls",7.00,61.71,0.1134,0.0000,7,
"Heinz Tomato Ketchup, 32 oz Bottle",7.00,61.71,0.1134,0.1538,7,32 oz
"""JIFFY"" Corn Muffin Mix, 8.5 oz Box",7.00,61.71,0.1134,0.2308,6,8.5 oz
