canonical_item,units_per_week_all,units_per_week_13w,total_qty,raw_item_count,category_guess,perishable_guess
Queso Melt Restaurant Style,0.0648,0.0000,4.00,1,Dairy,Perishable
Romaine Lettuce Hearts Each,0.0648,0.1538,4.00,1,Uncategorized,Non-perishable
Sargento Sliced Muenster Natural,0.0648,0.2308,4.00,1,Dairy,Perishable
Starry Lemon Lime Soda,0.0648,0.0000,4.00,1,Uncategorized,Non-perishable
Sterilite File Crate Versatile,0.0648,0.0000,4.00,1,Uncategorized,Non-perishable
Tropicana Pure Premium Orange,0.0648,0.3077,4.00,1,Uncategorized,Non-perishable
Wonder Nation Boys Short,0.0648,0.0000,4.00,1,Uncategorized,Non-perishable
Cantu Shea Butter For,0.0648,0.0000,4.00,2,Uncategorized,Non-perishable
Digiorno Frozen Pizza Rising,0.0648,0.0000,4.00,2,Dairy,Perishable
Applesauce Pouches,0.0648,0.0000,4.00,2,Produce,Perishable
Low Moisture Part Skim,0.0648,0.0769,4.00,2,Dairy,Perishable
Nutella Hazelnut Spread With,0.0648,0.0000,4.00,2,Uncategorized,Non-perishable
Oreo Double Stuf Chocolate,0.0648,0.0000,4.00,2,Uncategorized,Non-perishable
Canned Pineapple,0.0648,0.2307,4.00,3,Produce,Perishable
Heinz Sweet Relish Bottle,0.0648,0.0000,4.00,2,Uncategorized,Non-perishable
Smucker S Uncrustables Peanut,0.0648,0.0769,4.00,3,Uncategorized,Non-perishable
Applegate Natural Uncured Peppered,0.0486,0.1538,3.00,1,Produce,Perishable
Baby Arugula Salad Clam,0.0486,0.2308,3.00,1,Uncategorized,Non-perishable
Barilla Classic Whole Grain,0.0486,0.0000,3.00,1,Uncategorized,Non-perishable
Bella Rosa Shredded Parmesan,0.0486,0.0000,3.00,1,Dairy,Perishable
Betty Crocker Bisquick Pancake,0.0486,0.1538,3.00,1,Uncategorized,Non-perishable
Celery Hearts Each,0.0486,0.0000,3.00,1,Uncategorized,Non-perishable
Classico Extra Creamy Alfredo,0.0486,0.0000,3.00,1,Uncategorized,Non-perishable
