raw_item,canonical_item,category_guess,perishable_guess,base_unit,pack_count,size_amount,size_unit,total_qty_purchased,normalized_units_total,units_per_week_all_raw,units_per_week_13w_raw,package_volume_hint
Forceum HENA UHP All Season 205/45R16 87W Passenger Tire,Forceum Hena Uhp All,Uncategorized,Non-perishable,each,1,,,2.00,2.00,0.0324,0.0000,
"Frank's RedHot Kosher Original Cayenne Pepper Hot Sauce, 23.0 fl oz Bottle",Frank S Redhot Cayenne,Uncategorized,Non-perishable,each,1,23.0,fl oz,2.00,2.00,0.0324,0.1538,23.0 fl oz
"French's Non-GMO Kosher Original Crispy Fried Onions, 6.0 oz Can",French S Non Gmo,Uncategorized,Non-perishable,each,1,6.0,oz,2.00,2.00,0.0324,0.0000,6.0 oz
"Garlic Bulb Fresh Whole, Each",Garlic Bulb Whole Each,Uncategorized,Non-perishable,each,1,,,2.00,2.00,0.0324,0.0769,
"Gatorade Sports Drink, Fruit Punch/Glacier Cherry/Cool Blue Variety Pack, 12 fl oz, 18 Count Bottles",Gatorade Sports Drink Fruit,Uncategorized,Non-perishable,each,18,12,fl oz,2.00,36.00,0.0324,0.1538,12 fl oz
"Gatorade Thirst Quencher Cool Blue Sports Drinks, 12 fl oz, 12 Count Bottles",Gatorade Thirst Quencher Cool,Uncategorized,Non-perishable,each,12,12,fl oz,2.00,24.00,0.0324,0.0000,12 fl oz
"Genoa Salami, Pepper Jack Cheese, Dried Mango, Dark Chocolate Chunks - 3oz Good & Gather™",Genoa Salami Pepper Jack,Dairy,Perishable,oz,1,3,oz,2.00,2.00,0.0324,0.1538,3oz
Montchevre® Original Crumbled Refrigerated Goat Cheese Plastic Cup 4 oz,Goat Cheese,Dairy,Perishable,oz,1,4,oz,2.00,2.00,0.0324,0.1538,4 oz
"Vermont Creamery Blueberry, Lemon & Thyme Goat Cheese Log, 4 oz",Goat Cheese,Dairy,Perishable,oz,1,4,oz,2.00,2.00,0.0324,0.0769,4 oz
"Goya Artichoke Hearts, 6 oz",Goya Artichoke Hearts,Uncategorized,Non-perishable,each,1,6,oz,2.00,2.00,0.0324,0.1538,6 oz
"Great Value Heavy Whipping Cream, 16 oz Carton",Heavy Whipping Cream Carton,Uncategorized,Non-perishable,each,1,16,oz,2.00,2.00,0.0324,0.0769,16 oz
"Heinz HomeStyle Beef Gravy, 12 oz Jar",Heinz Homestyle Beef Gravy,Uncategorized,Perishable,each,1,12,oz,2.00,2.00,0.0324,0.0000,12 oz
"Heinz Sweet Relish, 12.7 oz Bottle",Heinz Sweet Relish Bottle,Uncategorized,Non-perishable,each,1,12.7,oz,2.00,2.00,0.0324,0.0000,12.7 oz
"Heinz Sweet Relish, 26 oz Bottle",Heinz Sweet Relish Bottle,Uncategorized,Non-perishable,each,1,26,oz,2.00,2.00,0.0324,0.0000,26 oz
"Hidden Valley Original Ranch Dipping Sauce Salad Dressing and Topping, 20 fl oz Easy Squeeze Bottle",Hidden Valley Ranch Dipping,Uncategorized,Non-perishable,each,1,20,fl oz,2.00,2.00,0.0324,0.1538,20 fl oz
"Hillshire Snacking Protein Genoa Salami, White Cheddar Cheese, Toasted Rounds Meat Snack Kit, 2.76 oz (Refrigerated)",Hillshire Snacking Protein Genoa,Dairy,Perishable,oz,1,2.76,oz,2.00,2.00,0.0324,0.0000,2.76 oz
"Honest Kids Organic Super Fruit Punch Juice, 6.75 fl oz, 8 Pouches",Honest Kids Super Fruit,Uncategorized,Non-perishable,each,1,6.75,fl oz,2.00,2.00,0.0324,0.0000,6.75 fl oz
"Ivory Bar Soap, Original Scent, All Skin Types, 4 Count, 4 Ounces Each",Ivory Bar Soap Scent,Uncategorized,Non-perishable,each,4,,,2.00,8.00,0.0324,0.0000,4 Count
"Ken's Steak House® Creamy Caesar Salad Dressing, Topping & Spread 24 fl oz",Ken S Steak House,Uncategorized,Non-perishable,each,1,24,fl oz,2.00,2.00,0.0324,0.0000,24 fl oz
"KIND Gluten Free Peanut Butter Dark Chocolate Snack Bars, Value Pack, 1.4 oz, 12 Count, Cardboard Box",Kind Gluten Free Peanut,Uncategorized,Non-perishable,each,12,1.4,oz,2.00,24.00,0.0324,0.0000,1.4 oz
Kraft Mexican Style Four Cheese Finely Shredded Natural Cheese 8oz Bag,Kraft Mexican Style Four,Dairy,Perishable,each,1,8,oz,2.00,2.00,0.0324,0.0000,8oz
"Little Debbie Chocolate Christmas Tree Cakes, 8.25 oz, 5 Count",Little Debbie Chocolate Christmas,Uncategorized,Non-perishable,each,5,8.25,oz,2.00,10.00,0.0324,0.0000,8.25 oz
MAGIC SPOON S'Mores Protein Bar Treat - 12g Protein - 5.6oz/4ct,Magic Spoon S Mores,Uncategorized,Non-perishable,each,4,5.6,oz,2.00,8.00,0.0324,0.1538,12g
"Fresh Mandarin Oranges, 3 lb Bag",Mandarin Oranges Bag,Uncategorized,Non-perishable,each,1,3,lb,2.00,2.00,0.0324,0.0769,3 lb
"McCormick Pure Vanilla Extract, 2.0 fl oz Box",Mccormick Pure Vanilla Extract,Uncategorized,Non-perishable,each,1,2.0,fl oz,2.00,2.00,0.0324,0.0000,2.0 fl oz
"Method All-Purpose Cleaner, French Lavender, 28  fl oz",Method All Purpose Cleaner,Uncategorized,Non-perishable,each,1,28,fl oz,2.00,2.00,0.0324,0.0000,28  fl oz
"Great Value Coconut Milk, 13.5 fl oz, Can",Milk,Dairy,Perishable,each,1,13.5,fl oz,2.00,2.00,0.0324,0.1538,13.5 fl oz
"Planet Oat Extra Creamy Original Oat Milk, 52 oz",Milk,Dairy,Perishable,fl oz,1,52,oz,2.00,2.00,0.0324,0.0769,52 oz
"Swiss Miss Milk Chocolate Flavored Hot Cocoa Mix, 38.27 oz. Canister",Milk,Dairy,Perishable,each,1,38.27,oz,2.00,2.00,0.0324,0.0769,38.27 oz
"Teeny Tiny Lunch Bites Uncured Dry Sausage Nuggets, Cheddar Cheese, Milk",Milk,Dairy,Perishable,fl oz,1,,,2.00,2.00,0.0324,0.0000,
Muenster Deli Sliced Cheese - 8oz/12 slices - Good & Gather™,Muenster Deli Sliced Cheese,Dairy,Perishable,oz,1,8,oz,2.00,2.00,0.0324,0.0769,8oz
"Native Facial Moisturizer for Sensitive Skin with Aloe and Niacinamide, Unscented, 1.7 oz",Native Facial Moisturizer For,Uncategorized,Non-perishable,each,1,1.7,oz,2.00,2.00,0.0324,0.0000,1.7 oz
Native Sensitive Facial Cleanser Unscented Sulfate-Free For All Skin Types 12 oz,Native Sensitive Facial Cleanser,Uncategorized,Non-perishable,each,1,12,oz,2.00,2.00,0.0324,0.0000,12 oz
"Nature's Bakery Blueberry Fig Bars, 10 Twin packs, 2 oz Each",Nature S Bakery Blueberry,Uncategorized,Non-perishable,each,1,2,oz,2.00,2.00,0.0324,0.0000,2 oz
"(4 pack) Old El Paso Mild Red Enchilada Sauce, 1 Ct., 10 oz.",Old El Paso Mild,Uncategorized,Non-perishable,each,4,10,oz,2.00,8.00,0.0324,0.0000,4 pack
"Ophanie 22.5 inch 2 Pack Wood Floating Shelves, Hanging Float Shelf for Wall Mounted Decorative Shelves, 6.7 x 23 Inch, Set of 2, Rustic Brown-",Ophanie Inch Wood Floating,Uncategorized,Non-perishable,each,2,,,2.00,4.00,0.0324,0.0000,2 Pack
"Ore-Ida Extra Crispy Fast Food French Fries French Fried Frozen Potatoes Value Size, 4 lb Bag",Ore Ida Extra Crispy,Uncategorized,Non-perishable,each,1,4,lb,2.00,2.00,0.0324,0.0000,4 lb
"Ozark Trail Kids Air Mattress, Indoor/Outdoor Air Bed, Blow up Mattress Without Pump",Ozark Trail Kids Air,Uncategorized,Non-perishable,each,1,,,2.00,2.00,0.0324,0.0000,
"Pace Chunky Medium Salsa, 16 oz Jar",Pace Chunky Medium Salsa,Uncategorized,Non-perishable,each,1,16,oz,2.00,2.00,0.0324,0.0000,16 oz
"Pillsbury Cinnamon Rolls with Original Icing, Canned Pastry Dough, Value 2-Pack, 16 Rolls",Pillsbury Cinnamon Rolls With,Uncategorized,Non-perishable,each,1,,,2.00,2.00,0.0324,0.0000,
"Pillsbury Creamy Supreme Chocolate Fudge Flavored Frosting, 16 oz Tub",Pillsbury Creamy Supreme Chocolate,Uncategorized,Non-perishable,each,1,16,oz,2.00,2.00,0.0324,0.1538,16 oz
"Pillsbury Grands! Cinnamon Rolls, with Cinnabon Cinnamon and Original Icing, 5 Count, 17.5 oz",Pillsbury Grands Cinnamon Rolls,Uncategorized,Non-perishable,each,5,17.5,oz,2.00,10.00,0.0324,0.1538,5 Count
Pillsbury Grands! Southern Homestyle Buttermilk Biscuits - 16.3oz/8ct,Pillsbury Grands Southern Homestyle,Dairy,Perishable,fl oz,8,16.3,oz,2.00,16.00,0.0324,0.0000,16.3oz
"Pillsbury Premade Refrigerated Pie Crust, Two Pie Crusts, 14.1 oz",Pillsbury Premade Pie Crust,Uncategorized,Non-perishable,each,1,14.1,oz,2.00,2.00,0.0324,0.0000,14.1 oz
Chobani 30G Protein Low-Fat Greek Yogurt Drink Strawberries & Cream 14 fl oz Bottle,Protein Drinks,Dairy,Perishable,each,1,14,fl oz,2.00,2.00,0.0324,0.1538,30G
"Quaker Original Quick 5-Minute Grits, Shelf-Stable, 24 Oz Canister",Quaker Quick Minute Grits,Uncategorized,Non-perishable,each,1,24,oz,2.00,2.00,0.0324,0.1538,24 Oz
"Fresh Red Baby Potatoes, 1.5 lb Bag",Red Baby Potatoes Bag,Uncategorized,Non-perishable,each,1,1.5,lb,2.00,2.00,0.0324,0.1538,1.5 lb
"Reddi-wip Original Whipped Topping Made with Real Cream, 6.5 oz",Reddi Wip Whipped Topping,Uncategorized,Non-perishable,each,1,6.5,oz,2.00,2.00,0.0324,0.0000,6.5 oz
"Redi Shade No Tools Original Light Filtering Pleated Paper Shade Natural, 36 in x 72 in.",Redi Shade No Tools,Uncategorized,Non-perishable,each,1,,,2.00,2.00,0.0324,0.0000,
"Great Value Reduced Calorie Sugar Free Syrup, 24 fl oz",Reduced Calorie Sugar Free,Uncategorized,Non-perishable,each,1,24,fl oz,2.00,2.00,0.0324,0.0769,24 fl oz
"RITZ Whole Wheat Crackers, Snacks for Kids and Adults, Lunch Snacks, 12.9 oz",Ritz Whole Wheat Crackers,Uncategorized,Non-perishable,each,1,12.9,oz,2.00,2.00,0.0324,0.0000,12.9 oz
"Russell Athletic Boy's Performance Mesh Shorts, 4-Pack, Sizes 4-18 & Husky",Russell Athletic Boy S,Uncategorized,Non-perishable,each,1,,,2.00,2.00,0.0324,0.0000,
"SheaMoisture Strengthening Scalp Oil & Hair Oil Rosemary & Vegan Collagen, 2 oz",Sheamoisture Strengthening Scalp Oil,Uncategorized,Non-perishable,each,1,2,oz,2.00,2.00,0.0324,0.0769,2 oz
"Simply Potatoes Shredded Hash Browns, 20 oz Bag (Refrigerated)",Simply Potatoes Shredded Hash,Uncategorized,Non-perishable,each,1,20,oz,2.00,2.00,0.0324,0.0769,20 oz
"Great Value Sloppy Joe Sauce, 15 oz",Sloppy Joe Sauce,Uncategorized,Non-perishable,each,1,15,oz,2.00,2.00,0.0324,0.0000,15 oz
"Smithfield Naturally Hickory Smoked Lower Sodium Sliced Bacon, Gluten-Free, 16 oz",Smithfield Naturally Hickory Smoked,Uncategorized,Non-perishable,each,1,16,oz,2.00,2.00,0.0324,0.0000,16 oz
"Smucker's Natural Strawberry Fruit Spread, 17.25 oz",Smucker S Natural Strawberry,Uncategorized,Non-perishable,each,1,17.25,oz,2.00,2.00,0.0324,0.0000,17.25 oz
"Smucker's Seedless Strawberry Jam, 18 oz",Smucker S Seedless Strawberry,Uncategorized,Non-perishable,each,1,18,oz,2.00,2.00,0.0324,0.0000,18 oz
"Smucker’s Uncrustables Peanut Butter & Grape Jelly Sandwiches, 10 Count, 2 oz Each, Frozen",Smucker S Uncrustables Peanut,Uncategorized,Non-perishable,each,10,2,oz,2.00,20.00,0.0324,0.0000,10 Count
"Sprite Lemon Lime Soda Pop, 2 Liter Bottle",Sprite Lemon Lime Soda,Uncategorized,Non-perishable,each,1,,,2.00,2.00,0.0324,0.1538,
"Stacy’s No Artificial Colors or Flavors Sea Salt Pita Chips Bag, 7.33 oz​",Stacy S No Artificial,Snacks,Non-perishable,oz,1,7.33,oz,2.00,2.00,0.0324,0.0769,7.33 oz
"Stauffer's Original Animal Crackers, 24 oz Resealable Family Size Bear Jug, Low Fat Snack for Kids & Adults",Stauffer S Animal Crackers,Uncategorized,Non-perishable,each,1,24,oz,2.00,2.00,0.0324,0.0000,24 oz
"(2 pack) Sterilite Small Storage Bin, 28 Quart Clear Plastic Storage Container with Snap-On Lid, White",Sterilite Small Storage Bin,Uncategorized,Non-perishable,each,2,,,2.00,4.00,0.0324,0.0000,2 pack
"Fresh Strawberries, 2 lb, Container",Strawberries Container,Uncategorized,Non-perishable,each,1,2,lb,2.00,2.00,0.0324,0.0000,2 lb
"Swanson White Premium Chunk Canned Chicken Breast in Water, 12.5 oz Can",Swanson White Premium Chunk,Uncategorized,Perishable,each,1,12.5,oz,2.00,2.00,0.0324,0.1538,12.5 oz
"Great Value Sweet Cream Unsalted Butter, 16 oz, 4 Sticks",Sweet Cream Unsalted Butter,Uncategorized,Non-perishable,each,1,16,oz,2.00,2.00,0.0324,0.0000,16 oz
Sweet Loren's Gluten Free Vegan Fudgy Brownie Cookie Dough - 12oz/12ct,Sweet Loren S Gluten,Uncategorized,Non-perishable,each,12,12,oz,2.00,24.00,0.0324,0.1538,12oz
"(2 pack) Classico Tomato & Basil Spaghetti Pasta Sauce, 24 oz. Jar",Tomatoes,Produce,Perishable,each,2,24,oz,2.00,4.00,0.0324,0.0000,2 pack
Pacific Foods Organic Gluten Free Creamy Tomato Soup - 32oz,Tomatoes,Produce,Perishable,each,1,32,oz,2.00,2.00,0.0324,0.1538,32oz
"Pacific Foods Organic Roasted Red Pepper and Tomato Soup, 32 oz Carton",Tomatoes,Produce,Perishable,each,1,32,oz,2.00,2.00,0.0324,0.1538,32 oz
"Great Value Smoked Turkey Breast Lunchmeat, 16 oz, Plastic Tub, Refrigerated",Turkey Lunchmeat,Meat,Perishable,each,1,16,oz,2.00,2.00,0.0324,0.0000,16 oz
"Tyson Oven Roasted Diced Chicken Breast, 22 oz (Frozen, Fully Cooked)",Tyson Oven Roasted Diced,Uncategorized,Perishable,each,1,22,oz,2.00,2.00,0.0324,0.0000,22 oz
"Utz Kettle Classics Salt & Malt Vinegar Potato Chips, Gluten-Free, 7.5 oz",Utz Kettle Classics Salt,Snacks,Non-perishable,oz,1,7.5,oz,2.00,2.00,0.0324,0.0000,7.5 oz
Valvoline MaxLife High Mileage 5W-30 Synthetic Blend Motor Oil 5 Quart,Valvoline Maxlife High Mileage,Uncategorized,Non-perishable,each,1,,,2.00,2.00,0.0324,0.0000,
"Velveeta Original Pasteurized Recipe Cheese Product, 16 oz Block",Velveeta Pasteurized Recipe Cheese,Dairy,Perishable,oz,1,16,oz,2.00,2.00,0.0324,0.1538,16 oz
"Vita Coco The Original Coconut Water, Nutrients & Electrolytes Rich, Pure, 16.9 fl oz Tetra",Vita Coco The Coconut,Uncategorized,Non-perishable,fl oz,1,16.9,fl oz,2.00,2.00,0.0324,0.1538,16.9 fl oz
"Great Value Waffle Cut French Fried Potatoes, 24 oz (Frozen)",Waffle Cut French Fried,Uncategorized,Non-perishable,each,1,24,oz,2.00,2.00,0.0324,0.0000,24 oz
"Fresh Whole Green Broccoli Crowns, 1 Each",Whole Green Broccoli Crowns,Uncategorized,Non-perishable,each,1,,,2.00,2.00,0.0324,0.0000,1 Each
"Great Value Whole Wheat Penne, 16 oz",Whole Wheat Penne,Uncategorized,Non-perishable,each,1,16,oz,2.00,2.00,0.0324,0.0000,16 oz
"WHOLLY GUACAMOLE Minis Paste, Classic, 12oz, 6 Pack",Wholly Guacamole Minis Paste,Uncategorized,Non-perishable,each,6,12,oz,2.00,12.00,0.0324,0.1538,12oz
"Wonder Nation Toddler Cotton Long Sleeve Sleep Tee and Pants Pajama Set, 2-Piece, Sizes 12M-5T",Wonder Nation Toddler Cotton,Uncategorized,Non-perishable,each,1,,,2.00,2.00,0.0324,0.0000,
"Great Value Yellow Mustard, 20 oz Squeeze Bottle",Yellow Mustard Squeeze Bottle,Uncategorized,Non-perishable,each,1,20,oz,2.00,2.00,0.0324,0.0000,20 oz
"ZUNMOS 4 Drawer Fabric Dresser for Bedroom, Tall Chest of Drawer Organizer Storage Cabinet for Closet, Entryway, Grey",Zunmos Drawer Fabric Dresser,Uncategorized,Non-perishable,each,1,,,2.00,2.00,0.0324,0.0000,
"ACE Brand Adjustable Compression Knee Support with Stabilizers, Black/Gray – One Size",Ace Brand Adjustable Compression,Uncategorized,Non-perishable,each,1,,,1.00,1.00,0.0162,0.0000,
"AIRFIRE H14 HEPA Air Purifiers for Home up to 2215 Sq.ft, Air Purifier for Allergies and Asthma, Pollen, Wildfire/Smoke, Pet Dander & Odor, Dust, AP304, White",Airfire H Hepa Air,Uncategorized,Non-perishable,each,1,,,1.00,1.00,0.0162,0.0000,
"AirTechnik CF11924 Cabin Air Filter w/Activated Carbon  Fits Fiat 500 2013-2019, Argo 21-24, Fastback 24-25, Pulse 23-25, Mobi 17-22, Uno 13-20, Ram 700 21-24, Pro Master Rapid 17-24 - 68096453AA",Airtechnik Cf Cabin Air,Uncategorized,Non-perishable,each,1,,,1.00,1.00,0.0162,0.0000,
"Allegra Adult 24-Hour Allergy Relief Gelcaps, Non-Drowsy Allergy Medicine, 180 mg Pill, 24 Count",Allegra Adult Hour Allergy,Uncategorized,Non-perishable,each,24,,,1.00,24.00,0.0162,0.0000,24 Count
"Allegra Children's 12-Hour Allergy Relief Liquid, Non-Drowsy Indoor and Outdoor Allergy Medicine, 30 mg Fexofenadine HCI Antihistamine For Kids, Berry Flavor, 4 oz.",Allegra Children S Hour,Uncategorized,Non-perishable,each,1,4,oz,1.00,1.00,0.0162,0.0000,4 oz
"AllerEase Ultimate Cotton Pillow Cover Protector, King- Zippered, Temperature Balancing",Allerease Ultimate Cotton Pillow,Uncategorized,Non-perishable,each,1,,,1.00,1.00,0.0162,0.0000,
Applegate Natural Prosciutto - 3oz,Applegate Natural Prosciutto,Produce,Perishable,each,1,3,oz,1.00,1.00,0.0162,0.0000,3oz
"Fresh Granny Smith Apples, 3 lb Bag",Apples,Produce,Perishable,each,1,3,lb,1.00,1.00,0.0162,0.0000,3 lb
Fresh Honeycrisp Apples - 3lb Bag - Good & Gather™,Apples,Produce,Perishable,each,1,3,lb,1.00,1.00,0.0162,0.0000,3lb
Fresh Organic Honeycrisp Apples - 2lbs Bag - Good & Gather™,Apples,Produce,Perishable,each,1,2,lbs,1.00,1.00,0.0162,0.0769,2lbs
GoGo SqueeZ No Sugar Added Applesauce and Fruit Puree Apple Apple - 3.2oz/20ct,Apples,Produce,Perishable,each,20,3.2,oz,1.00,20.00,0.0162,0.0769,3.2oz
"GoGo squeeZ No Sugar Added Apple Applesauce & Fruit Puree Pouches, 3.2 oz (16 Pack)",Apples,Produce,Perishable,each,16,3.2,oz,1.00,16.00,0.0162,0.0000,3.2 oz
"Great Value 100% Apple Juice, 96 fl oz",Apples,Produce,Perishable,each,1,96,fl oz,1.00,1.00,0.0162,0.0000,96 fl oz
ASP Cough & ST Adult FizzyChews 16CT,Asp Cough St Adult,Uncategorized,Non-perishable,each,16,,,1.00,16.00,0.0162,0.0000,16CT
"Aspercreme Max Strength Topical Numbing Pain Reliever for Nerve Pain Relief, 4% Lidocaine, Odor Free, 4.3 oz",Aspercreme Max Strength Topical,Uncategorized,Non-perishable,each,1,4.3,oz,1.00,1.00,0.0162,0.0000,4.3 oz
"Aveeno Therapeutic Shave Gel for Dry Skin with Oat & Vitamin E, Shaving Cream for Men & Women, 7 oz",Aveeno Therapeutic Shave Gel,Uncategorized,Non-perishable,each,1,7,oz,1.00,1.00,0.0162,0.0769,7 oz
"Organic Marketside Fresh Baby Peeled Carrots, 1 lb Bag",Baby Peeled Carrots Bag,Uncategorized,Non-perishable,each,1,1,lb,1.00,1.00,0.0162,0.0000,1 lb
"Stacy’s No Artificial Colors or Flavors Sea Salt Bagel Chips Bag, 7 oz​",Bagels,Bakery,Non-perishable,each,1,7,oz,1.00,1.00,0.0162,0.0000,7 oz
"Ball Park White Burger Buns, 8 count, Kosher Hamburger Buns, 15 oz Bag",Ball Park White Burger,Bakery,Non-perishable,each,8,15,oz,1.00,8.00,0.0162,0.0000,8 count
"BelGioioso Freshly Grated Parmesan Cheese, Refrigerated 5 oz Plastic Cup",Belgioioso Freshly Grated Parmesan,Dairy,Perishable,oz,1,5,oz,1.00,1.00,0.0162,0.0000,5 oz
"Betty Crocker Delights Super Moist Spice Cake Mix, 13.25 oz",Betty Crocker Delights Super,Uncategorized,Perishable,each,1,13.25,oz,1.00,1.00,0.0162,0.0769,13.25 oz
"Betty Crocker Favorites Super Moist Yellow Cake Mix, 13.25 oz",Betty Crocker Favorites Super,Uncategorized,Non-perishable,each,1,13.25,oz,1.00,1.00,0.0162,0.0769,13.25 oz
"Blue Bunny Soft Cookies and Cream Premium Frozen Dessert, 46 fl oz",Blue Bunny Soft Cookies,Uncategorized,Non-perishable,each,1,46,fl oz,1.00,1.00,0.0162,0.0000,46 fl oz
"Arnold Country Style Sourdough Bread, 24 oz, Sourdough Bread, Bag",Bread,Bakery,Non-perishable,oz,1,24,oz,1.00,1.00,0.0162,0.0000,24 oz
"Dave's Killer Bread Raisin' The Roof! Organic Breakfast Bread, Cinnamon Raisin Loaf, 18 Oz",Bread,Bakery,Non-perishable,oz,1,18,oz,1.00,1.00,0.0162,0.0769,18 Oz
"Dave's Killer Bread Thin-Sliced Good Seed Organic Bread 20.5 oz, Shelf-Stable",Bread,Bakery,Non-perishable,oz,1,20.5,oz,1.00,1.00,0.0162,0.0000,20.5 oz
Dave's Killer Bread® Thin Sliced 21 Whole Grains and Seeds Organic Bread 20.5 oz. Loaf,Bread,Bakery,Non-perishable,oz,1,20.5,oz,1.00,1.00,0.0162,0.0000,20.5 oz
Fleischmann's Classic Bread Machine Instant Yeast 4 oz Jar.,Bread,Bakery,Non-perishable,oz,1,4,oz,1.00,1.00,0.0162,0.0769,4 oz
"Great Value Garlic Bread Sticks, 10.5 oz (Frozen)",Bread,Bakery,Non-perishable,oz,1,10.5,oz,1.00,1.00,0.0162,0.0000,10.5 oz
"Great Value Pre-Sliced Cinnamon Raisin Bread, 16 oz",Bread,Bakery,Non-perishable,oz,1,16,oz,1.00,1.00,0.0162,0.0000,16 oz
"Pepperidge Farm Farmhouse Brioche Bread, 22 oz Loaf",Bread,Bakery,Non-perishable,oz,1,22,oz,1.00,1.00,0.0162,0.0000,22 oz
Sliced Sourdough Bread - 17oz - Favorite Day™,Bread,Bakery,Non-perishable,oz,1,17,oz,1.00,1.00,0.0162,0.0769,17oz
"Jimmy Dean Fully Cooked Original Pork Sausage Links, 9.6 oz, 12 Count",Breakfast Sausage,Meat,Perishable,each,12,9.6,oz,1.00,12.00,0.0162,0.0000,9.6 oz
Cabot Creamery Lowfat Plain Greek Yogurt 2 lb (Refrigerated Tub),Cabot Creamery Lowfat Greek,Dairy,Perishable,each,1,2,lb,1.00,1.00,0.0162,0.0000,2 lb
"Great Value Canned Crushed Pineapple, 20 oz",Canned Pineapple,Produce,Perishable,each,1,20,oz,1.00,1.00,0.0162,0.0769,20 oz
"Cantu Care for Kids Paraben & Sulfate-Free Conditioning Detangling Spray, 6 fl oz",Cantu Care For Kids,Uncategorized,Non-perishable,each,1,6,fl oz,1.00,1.00,0.0162,0.0000,6 fl oz
(2 pack) Cantu Shea Butter for Natural Hair Complete Conditioning Co-Wash 10 oz,Cantu Shea Butter For,Uncategorized,Non-perishable,each,2,10,oz,1.00,2.00,0.0162,0.0000,2 pack
"Cantu Sulfate-Free Hydrating Cream Conditioner, 25 fl oz",Cantu Sulfate Free Hydrating,Uncategorized,Non-perishable,each,1,25,fl oz,1.00,1.00,0.0162,0.0000,25 fl oz
"Cantu Weightless Smoothing Shampoo, 13.5 fl.oz.",Cantu Weightless Smoothing Shampoo,Uncategorized,Non-perishable,each,1,,,1.00,1.00,0.0162,0.0000,
"(2 pack) Capri Sun Fruit Punch Juice Box Pouches, 10 ct Box, 6 fl oz Pouches",Capri Sun Fruit Punch,Uncategorized,Non-perishable,each,2,6,fl oz,1.00,2.00,0.0162,0.0000,2 pack
"Cascade Complete Dishwasher Detergent Liquid Gel, Dish Detergent, Dish Soap, Fresh, 120 fl oz",Cascade Complete Dishwasher Detergent,Uncategorized,Non-perishable,each,1,120,fl oz,1.00,1.00,0.0162,0.0000,120 fl oz
Cascade Complete Dishwashing Liquid Gel Fresh Detergent - 120 fl oz,Cascade Complete Dishwashing Liquid,Uncategorized,Non-perishable,each,1,120,fl oz,1.00,1.00,0.0162,0.0769,120 fl oz
"Cascade Platinum Dishwasher Pods, Dishwasher Detergent, Dish Detergent Soap, Fresh, 12 Count",Cascade Platinum Dishwasher Pods,Uncategorized,Non-perishable,each,12,,,1.00,12.00,0.0162,0.0000,12 Count
"Fresh Celery Sticks, 20 oz Bag",Celery Sticks Bag,Uncategorized,Non-perishable,each,1,20,oz,1.00,1.00,0.0162,0.0769,20 oz
"Character Toddler Boy Briefs, 6- Pack, Sizes 2T-4T",Character Toddler Boy Briefs,Uncategorized,Non-perishable,each,1,,,1.00,1.00,0.0162,0.0769,
"Cheetos Crunchy Cheese Flavored Snack Chips, 8.5 oz Bag",Cheetos Crunchy Cheese Flavored,Dairy,Perishable,oz,1,8.5,oz,1.00,1.00,0.0162,0.0000,8.5 oz
"Cheez-It Grooves Sharp White Cheddar Crunchy Cheese Crackers, Snack Crackers, 17 oz",Cheez It Grooves Sharp,Dairy,Perishable,oz,1,17,oz,1.00,1.00,0.0162,0.0000,17 oz
CHICALFREDO,Chicalfredo,Uncategorized,Non-perishable,each,1,,,1.00,1.00,0.0162,0.0769,
CHICK ENCHIL,Chick Enchil,Uncategorized,Non-perishable,each,1,,,1.00,1.00,0.0162,0.0769,
"Children's Motrin Ibuprofen Kids Medicine, Berry Flavored, 4 fl. oz",Children S Motrin Ibuprofen,Uncategorized,Non-perishable,each,1,,,1.00,1.00,0.0162,0.0000,
"Great Value Chili Seasoning Mix, 1.25 oz",Chili Seasoning Mix,Uncategorized,Non-perishable,each,1,1.25,oz,1.00,1.00,0.0162,0.0000,1.25 oz
Chinet Comfort Cup - 18ct/16oz,Chinet Comfort Cup,Uncategorized,Non-perishable,each,18,16,oz,1.00,18.00,0.0162,0.0000,18ct
CHOC CARAMEL,Choc Caramel,Uncategorized,Non-perishable,each,1,,,1.00,1.00,0.0162,0.0769,
"Great Value Chocolate Chip Cookie Dough Ice Cream, 48 fl oz",Chocolate Chip Cookie Dough,Uncategorized,Non-perishable,each,1,48,fl oz,1.00,1.00,0.0162,0.0000,48 fl oz
"Great Value Cinnamon Sticks, 0.75 oz",Cinnamon Sticks,Uncategorized,Non-perishable,each,1,0.75,oz,1.00,1.00,0.0162,0.0769,0.75 oz
CLOUDLINE PN,Cloudline Pn,Uncategorized,Non-perishable,each,1,,,1.00,1.00,0.0162,0.0769,
"Coffee mate Harry Potter Butterbeer Flavored Cold Foam Creamer, Gluten Free Creamer 14 oz",Coffee Mate Harry Potter,Uncategorized,Non-perishable,each,1,14,oz,1.00,1.00,0.0162,0.0769,14 oz
"Colgate Extra Clean Full Head Adult Manual Toothbrush, Soft, 4 Pack",Colgate Extra Clean Full,Uncategorized,Non-perishable,each,4,,,1.00,4.00,0.0162,0.0000,4 Pack
"Colgate 360 Whole Mouth Clean Adult Manual Toothbrush, Medium, 5 Pack",Colgate Whole Mouth Clean,Uncategorized,Non-perishable,each,5,,,1.00,5.00,0.0162,0.0000,5 Pack
