raw_item,canonical_item,category_guess,perishable_guess,base_unit,pack_count,size_amount,size_unit,total_qty_purchased,normalized_units_total,units_per_week_all_raw,units_per_week_13w_raw,package_volume_hint
"Nature's Own 100% Whole Wheat, Whole Wheat Sandwich Bread, 20 oz Loaf, Shelf-Stable",Bread,Bakery,Non-perishable,oz,1,20,oz,15.00,15.00,0.2431,0.1538,20 oz
"Great Value Original Sour Cream, 24 oz Tub",Sour Cream Tub,Uncategorized,Non-perishable,each,1,24,oz,15.00,15.00,0.2431,0.3846,24 oz
"Fresh Strawberries, 1 lb",Strawberries,Uncategorized,Non-perishable,each,1,1,lb,15.00,15.00,0.2431,0.0769,1 lb
"Great Value Turkey Pepperoni Slices, 5 oz",Turkey Pepperoni Slices,Meat,Non-perishable,each,1,5,oz,15.00,15.00,0.2431,0.6154,5 oz
"Activia Probiotic Dailies Strawberry Low Fat Probiotic Yogurt Drinks, Helps Support Gut Health, 3.1 fl oz, 8 Count",Yogurt Drinks,Dairy,Perishable,each,8,3.1,fl oz,14.00,112.00,0.2269,0.0000,3.1 fl oz
"Pepperidge Farm Raisin Cinnamon Swirl Breakfast Bread, 16 oz Loaf",Bread,Bakery,Non-perishable,oz,1,16,oz,14.00,14.00,0.2269,0.4615,16 oz
"Fritos Regular Corn Chips, 9.25 oz Single Bag",Corn,Pantry,Non-perishable,oz,1,9.25,oz,14.00,14.00,0.2269,0.5385,9.25 oz
"TPH BY TARAJI Hustle & Co Hydrating Co Wash Cleansing Hair Conditioner | Coily & Curly Hair | All Genders, 12 oz.",Tph By Taraji Hustle,Uncategorized,Non-perishable,each,1,12,oz,14.00,14.00,0.2269,0.0769,12 oz
"DiGiorno Classic Crust Cheese Pizza, 19.1 oz (Frozen)",Digiorno Classic Crust Cheese,Dairy,Perishable,oz,1,19.1,oz,13.00,13.00,0.2106,0.0000,19.1 oz
"Fresh Lime, Each",Lime Each,Uncategorized,Non-perishable,each,1,,,13.00,13.00,0.2106,0.9231,
"Fresh Whole Brown Mushrooms, 8 oz",Whole Brown Mushrooms,Uncategorized,Non-perishable,each,1,8,oz,13.00,13.00,0.2106,0.3846,8 oz
"Fritos Scoops! Corn Snacks, Party Size, 15.5 oz Bag",Corn,Pantry,Non-perishable,oz,1,15.5,oz,12.00,12.00,0.1944,0.0000,15.5 oz
"Kerrygold Grass-Fed Pure Irish Salted Butter Sticks, 8 oz, 2 Sticks",Kerrygold Grass Fed Pure,Uncategorized,Non-perishable,each,1,8,oz,12.00,12.00,0.1944,0.3846,8 oz
"HERSHEY’S a2 Milk® Chocolate 2% Reduced Fat Milk Boxes, 8 oz, 12-Pack",Milk,Dairy,Perishable,fl oz,1,8,oz,12.00,12.00,0.1944,0.0000,8 oz
"Pillsbury Grands! Southern Homestyle Buttermilk Biscuits, 2 Pack, 16 Biscuits, 32.6 oz",Pillsbury Grands Southern Homestyle,Dairy,Perishable,fl oz,2,32.6,oz,12.00,24.00,0.1944,0.0769,2 Pack
"Smithfield Hickory Smoked Bacon, 16 oz, Gluten-Free, No MSG",Smithfield Hickory Smoked Bacon,Uncategorized,Non-perishable,each,1,16,oz,12.00,12.00,0.1944,0.4615,16 oz
"TPH BY TARAJI Make it Rain Hydrating Deep Conditioner With Aloe Vera, Avocado Oil, & Moringa Oil For All Hair Types | Detangler For Curly, Coily & Wavy Hair | Color Safe & Sulfate Free, 12 oz.",Tph By Taraji Make,Uncategorized,Non-perishable,each,1,12,oz,12.00,12.00,0.1944,0.0769,12 oz
"Organic Fresh Whole Carrots, 2 lb Bag",Whole Carrots Bag,Uncategorized,Non-perishable,each,1,2,lb,12.00,12.00,0.1944,0.0769,2 lb
La Banderita Yellow Corn Tortilla 30 Count,Corn,Pantry,Non-perishable,oz,30,,,11.00,330.00,0.1782,0.1538,30 Count
"Gordo's Original Queso Cheese Dip, 16 oz, Refrigerated Dip",Gordo S Queso Cheese,Dairy,Perishable,oz,1,16,oz,11.00,11.00,0.1782,0.3846,16 oz
"Heinz Chili Sauce, 12 oz Bottle",Heinz Chili Sauce Bottle,Uncategorized,Non-perishable,each,1,12,oz,11.00,11.00,0.1782,0.0000,12 oz
"Honey Nut Cheerios, Heart Healthy Cereal, Affirmations Box, Mega Size, 27.2 oz",Honey Nut Cheerios Heart,Uncategorized,Non-perishable,each,1,27.2,oz,11.00,11.00,0.1782,0.3846,27.2 oz
"Great Value No Stir Creamy Natural Peanut Butter Spread, 40 oz",No Stir Creamy Natural,Uncategorized,Non-perishable,each,1,40,oz,11.00,11.00,0.1782,0.3846,40 oz
Fresh Whole Russet Potatoes 5 lb Bag,Whole Russet Potatoes Bag,Uncategorized,Non-perishable,each,1,5,lb,11.00,11.00,0.1782,0.3077,5 lb
"Fresh Honeycrisp Apples, 3 lb Bag",Apples,Produce,Perishable,each,1,3,lb,10.00,10.00,0.1620,0.0000,3 lb
"Blue Diamond Almonds, Lightly Salted Low Sodium Snack Nuts For Gluten Free Snacking, 14 oz.",Blue Diamond Almonds Lightly,Uncategorized,Non-perishable,each,1,14,oz,10.00,10.00,0.1620,0.0769,14 oz
Cabot Creamery Cabot Whole Milk Plain Greek Yogurt 2 lb (Refrigerated  Tub),Milk,Dairy,Perishable,fl oz,1,2,lb,10.00,10.00,0.1620,0.2308,2 lb
"Great Value Mixed Vegetables, 12 oz Steamable Bag (Frozen)",Mixed Vegetables Steamable Bag,Uncategorized,Non-perishable,each,1,12,oz,10.00,10.00,0.1620,0.1538,12 oz
"Old El Paso Mild Red Enchilada Sauce, Meal Prep, 10 oz",Old El Paso Mild,Uncategorized,Non-perishable,each,1,10,oz,10.00,10.00,0.1620,0.3077,10 oz
"Pace Chunky Medium Salsa, 64 oz Bottle",Pace Chunky Medium Salsa,Uncategorized,Non-perishable,each,1,64,oz,10.00,10.00,0.1620,0.2308,64 oz
"Perdue Harvestland, Free Range, Fresh Chicken Breast Tenderloin Pieces, 0.8-1.7lb. Tray",Perdue Harvestland Free Range,Uncategorized,Perishable,each,1,1.7,lb,10.00,10.00,0.1620,0.3077,1.7lb
"Chobani 20G Protein Low-Fat Greek Yogurt Drink, Strawberries and Cream 10 fl oz Bottle, 4 Pack",Protein Drinks,Dairy,Perishable,each,4,10,fl oz,10.00,40.00,0.1620,0.1538,20G
"Scott 1000 Toilet Paper, 12 Rolls, 1,000 Sheets per Roll",Scott Toilet Paper Rolls,Uncategorized,Non-perishable,each,1,,,10.00,10.00,0.1620,0.2308,
"Green Bell Pepper, 1 each",Green Bell Pepper Each,Uncategorized,Non-perishable,each,1,,,9.00,9.00,0.1458,0.1538,1 each
"Fresh Hass Avocados, Each",Hass Avocados Each,Uncategorized,Non-perishable,each,1,,,9.00,9.00,0.1458,0.3846,
"Hellmann's Real Mayonnaise Rich Creamy Condiment Gluten Free, 20 oz Squeeze Bottle",Hellmann S Real Mayonnaise,Uncategorized,Non-perishable,each,1,20,oz,9.00,9.00,0.1458,0.3077,20 oz
"Mission Super Soft Flour Tortillas, Soft Taco Size, 10 Count",Mission Super Soft Flour,Uncategorized,Non-perishable,each,10,,,9.00,90.00,0.1458,0.0000,10 Count
"Fresh Red Bell Pepper, 1 Each",Red Bell Pepper Each,Uncategorized,Non-perishable,each,1,,,9.00,9.00,0.1458,0.3077,1 Each
"Snack Factory Original Pretzel Crisps, Non-GMO, 14 oz Party Size Bag",Snack Factory Pretzel Crisps,Uncategorized,Non-perishable,each,1,14,oz,9.00,9.00,0.1458,0.0769,14 oz
SunButter Original Sunflower Seed Butter 16 oz Jar,Sunbutter Sunflower Seed Butter,Uncategorized,Non-perishable,each,1,16,oz,9.00,9.00,0.1458,0.0000,16 oz
"Fresh Slicing Tomato, Each",Tomatoes,Produce,Perishable,each,1,,,9.00,9.00,0.1458,0.5385,
"Fresh Whole Yellow Onion, Each",Whole Yellow Onion Each,Uncategorized,Non-perishable,each,1,,,9.00,9.00,0.1458,0.3846,
"PopCorners No Artificial Colors or Flavors Kettle Corn Popped Corn Chips Bag, 7 oz​",Corn,Pantry,Non-perishable,oz,1,7,oz,8.00,8.00,0.1296,0.3077,7 oz
"Jet-Puffed Mini Marshmallows, 10 oz Bag",Jet Puffed Mini Marshmallows,Uncategorized,Non-perishable,each,1,10,oz,8.00,8.00,0.1296,0.4615,10 oz
"Kraft Mexican Style Cheddar Jack Shredded Cheese, 16 oz Bag",Kraft Mexican Style Cheddar,Dairy,Perishable,each,1,16,oz,8.00,8.00,0.1296,0.0000,16 oz
