raw_item,canonical_item,pack_count,base_unit,size_amount,size_unit,normalized_units_total,category_guess,perishable_guess
"Pepperidge Farm Raisin Cinnamon Swirl Breakfast Bread, 16 oz Loaf",Bread,1,oz,16,oz,14.00,Bakery,Non-perishable
"Jimmy Dean Fully Cooked Original Pork Sausage Links, 9.6 oz, 12 Count",Sausage,12,each,9.6,oz,12.00,Meat,Perishable
"Cascade Platinum Dishwasher Pods, Dishwasher Detergent, Dish Detergent Soap, Fresh, 12 Count",Dishwasher Detergent,12,each,,,12.00,Uncategorized,Non-perishable
"Crest Toothpaste, 3DWhite Advanced Whitening Toothpaste, Radiant Mint, 3.3 oz, 3 Pack",Toothpaste,3,each,3.3,oz,12.00,Uncategorized,Non-perishable
"Keebler Waffle Ice Cream Cones, 5 oz, 12 ct",Keebler Waffle Ice Cream,12,each,5,oz,12.00,Uncategorized,Non-perishable
"Kraft String Cheese Mozzarella Cheese Snacks, 12 ct Sticks",String Cheese,12,oz,,,12.00,Dairy,Perishable
"Great Value Low-Moisture Part-Skim Mozzarella String Cheese Snack, 12 oz, 12 Count",String Cheese,12,oz,12,oz,12.00,Dairy,Perishable
"HERSHEY’S a2 Milk® Chocolate 2% Reduced Fat Milk Boxes, 8 oz, 12-Pack",Protein Milk,1,fl oz,8,oz,12.00,Dairy,Perishable
"Oikos Pro 20g Protein, Vanilla Yogurt-Cultured Ultra-Filtered Milk&nbsp;Product Cups, 5.3 oz, 4 Count",Protein Milk,4,fl oz,5.3,oz,12.00,Dairy,Perishable
"Pen+Gear Letter Size Hanging File Folders, 12 Count, Green",Pen Gear Letter Size,12,each,,,12.00,Uncategorized,Non-perishable
"Fresh Romaine Lettuce Hearts 3 Count, Each",Romaine Lettuce Hearts Each,3,each,,,12.00,Uncategorized,Non-perishable
"Great Value Waffles Cones, 7 oz, 12 Count",Waffles Cones,12,each,7,oz,12.00,Uncategorized,Non-perishable
"WHOLLY GUACAMOLE Minis Paste, Classic, 12oz, 6 Pack",Wholly Guacamole Minis Paste,6,each,12,oz,12.00,Uncategorized,Non-perishable
"Fresh Honeycrisp Apples, 3 lb Bag",Apples,1,each,3,lb,10.00,Produce,Perishable
"Little Debbie Chocolate Christmas Tree Cakes, 8.25 oz, 5 Count",Little Debbie Chocolate Christmas,5,each,8.25,oz,10.00,Uncategorized,Non-perishable
Cabot Creamery Cabot Whole Milk Plain Greek Yogurt 2 lb (Refrigerated  Tub),Yogurt,1,fl oz,2,lb,10.00,Dairy,Perishable
"Old El Paso Stand 'N Stuff Taco Shells, Gluten Free, Meal Prep, 10 Count, 4.7 oz",Old El Paso Stand,10,each,4.7,oz,10.00,Uncategorized,Non-perishable
"Pillsbury Grands! Cinnamon Rolls, with Cinnabon Cinnamon and Original Icing, 5 Count, 17.5 oz",Pillsbury Grands Cinnamon Rolls,5,each,17.5,oz,10.00,Uncategorized,Non-perishable
"Smucker’s Uncrustables Peanut Butter & Strawberry Jam Sandwiches, 10 Count, 2 oz Each, Frozen",Smucker S Uncrustables Peanut,10,each,2,oz,10.00,Uncategorized,Non-perishable
"Swiffer Dusters Multi-Surface Refills, Unscented, 10 Count Dusters",Swiffer Dusters Multi Surface,10,each,,,10.00,Uncategorized,Non-perishable
"Safety 1st Parent Grip Door Knob Covers, White, 3 pack, Toddler",Safety St Parent Grip,3,each,,,9.00,Uncategorized,Non-perishable
"Fresh Slicing Tomato, Each",Tomatoes,1,each,,,9.00,Produce,Perishable
"Ball Park White Burger Buns, 8 count, Kosher Hamburger Buns, 15 oz Bag",Hamburger Buns,8,each,15,oz,8.00,Bakery,Non-perishable
"Combat Max Large Roach Killing Bait Stations, Child-resistant, 8 Count",Combat Max Large Roach,8,each,,,8.00,Uncategorized,Non-perishable
"Dr. Scholl's Blister Pain Relief Complete Kit with Lidocaine, 8 Count",Dr Scholl S Blister,8,each,,,8.00,Uncategorized,Non-perishable
"Drumstick Crushed It Cookies and Cream Sundae Cones, Kosher, 8 Count",Drumstick Crushed It Cookies,8,each,,,8.00,Uncategorized,Non-perishable
"Goody Sport Active Elastic Hair Ties, Assorted Colors, 8 ct",Goody Sport Active Elastic,8,each,,,8.00,Uncategorized,Non-perishable
"Ivory Bar Soap, Original Scent, All Skin Types, 4 Count, 4 Ounces Each",Body Soap,4,each,,,8.00,Uncategorized,Non-perishable
MAGIC SPOON S'Mores Protein Bar Treat - 12g Protein - 5.6oz/4ct,Granola Bars,4,each,5.6,oz,8.00,Uncategorized,Non-perishable
"(4 pack) Old El Paso Mild Red Enchilada Sauce, 1 Ct., 10 oz.",Old El Paso Mild,4,each,10,oz,8.00,Uncategorized,Non-perishable
"OREO Cakesters Soft Snack Cakes, 5 - 2.02 oz Snack Packs",Oreo Cakesters Soft Snack,1,each,2.02,oz,8.00,Uncategorized,Non-perishable
"Pillsbury Original Crescent Rolls, Dough, 2 Pack, 16 Rolls, 16 oz",Pillsbury Crescent Rolls Dough,2,each,16,oz,8.00,Uncategorized,Non-perishable
"LaCroix Black Razzberry Sparkling Water 8pk/12 fl oz Cans, 8 Pack (Quantity)",Sparkling Water,8,each,12,fl oz,8.00,Beverages,Non-perishable
"Blue Diamond Almonds, Lightly Salted Snack Almonds perfect for lunches and on-the-go, 25 oz.",Blue Diamond Almonds Lightly,1,each,25,oz,7.00,Uncategorized,Non-perishable
"The Cheesecake Factory At Home Famous ""Brown Bread"" Wheat Dinner Rolls",Bread,1,oz,,,7.00,Dairy,Perishable
"Great Value Uncooked Original Breakfast Pork Sausage Patties, 12 oz Package (Refrigerated)",Sausage,1,each,12,oz,7.00,Meat,Perishable
"Cholula Kosher Green Pepper Hot Sauce, 5.0 fl oz Bottle",Cholula Green Pepper Hot,1,each,5.0,fl oz,7.00,Uncategorized,Non-perishable
"""JIFFY"" Corn Muffin Mix, 8.5 oz Box",Corn,1,each,8.5,oz,7.00,Bakery,Non-perishable
"McCormick 30% Less Sodium Taco Seasoning Mix, 1.0 oz Packet",Mccormick Less Sodium Taco,1,each,1.0,oz,7.00,Uncategorized,Non-perishable
Mr. Clean Magic Eraser Extra Durable All Purpose Cleaning Pads with Durafoam 7 Count,Mr Clean Magic Eraser,7,each,,,7.00,Uncategorized,Non-perishable
"Heinz Tomato Ketchup, 32 oz Bottle",Ketchup,1,each,32,oz,7.00,Produce,Perishable
"Great Value Hard Boiled Eggs, 9.31 oz, 6 Count",Eggs,6,each,9.31,oz,6.00,Uncategorized,Non-perishable
"Ophanie Adhesive Shower Caddy 6 Pack, Large Capacity Bathroom Organizers and Storage, No Drilling Wall-Mounted Basket, Black",Ophanie Adhesive Shower Caddy,6,each,,,6.00,Uncategorized,Non-perishable
