raw_item,canonical_item,pack_count,base_unit,size_amount,size_unit,normalized_units_total,category_guess,perishable_guess
"Tropicana Pure Premium 100% Orange Juice Original, No Pulp, No Sugar Added, 46 fl oz",Juice,1,each,46,fl oz,4.00,Uncategorized,Non-perishable
Applegate Natural Uncured Peppered Genoa Salami - 4oz,Lunch Meat,1,each,4,oz,3.00,Produce,Perishable
"Freshness Guaranteed Sliced Sourdough Bread Loaf, 24 oz",Bread,1,oz,24,oz,3.00,Bakery,Non-perishable
"Pepperidge Farm Farmhouse Sourdough Bread, 24 oz Loaf",Bread,1,oz,24,oz,3.00,Bakery,Non-perishable
"Crunchmaster Multi-Seed Original Gluten-Free crackers, Party Pack, 7 oz. Bag in Box",Crackers,1,each,7,oz,3.00,Uncategorized,Non-perishable
"(3 pack) Deer Park Spring Water, 2.5 gal, Single Plastic Jug",Bottled Water,3,fl oz,,,3.00,Uncategorized,Non-perishable
Entertainment Collection Crackers Variety Pack - 13.1oz - Good & Gather™,Crackers,1,each,13.1,oz,3.00,Uncategorized,Non-perishable
Fever-Tree Ginger Beer 150ml Cans; 8-pack,Fever Tree Ginger Beer,1,each,150,ml,3.00,Uncategorized,Non-perishable
"Honey Stinger Organic Gluten-Free Energy Gel, Fruit Smoothie, 1.1 oz, 1 Count",Honey Stinger Energy Gel,1,each,1.1,oz,3.00,Uncategorized,Non-perishable
"Kodiak Protein-Packed Honey Oat Protein Granola Bag, Ready to Eat, 11 oz",Kodiak Protein Packed Honey,1,each,11,oz,3.00,Uncategorized,Non-perishable
"Great Value Mild Cheddar Deli Style Sliced Cheese, 8 oz Package, 12 Slices",Sliced Cheese,1,oz,8,oz,3.00,Dairy,Perishable
"Nature Valley Protein Oats and Honey Granola, Family Size Pouch, 17 oz",Nature Valley Protein Oats,1,each,17,oz,3.00,Uncategorized,Non-perishable
"Parent's Choice 3 Compartment Section Plate, Toddlers Aged 12 Months and up, 3 Count, Gender Neutral",Parent S Choice Compartment,3,each,,,3.00,Uncategorized,Non-perishable
"(3 pack) Plum Organics Jammy Sammy Snack Bars, Blueberry and Oatmeal, 1.02 oz Bars, 5 Count",Plum Organics Jammy Sammy,3,each,1.02,oz,3.00,Uncategorized,Non-perishable
"(3 pack) Sterilite, 15 Quart Clear Storage Bin, Latch Box Storage Container, with Clear Lid, Blue",Sterilite Quart Clear Storage,3,each,,,3.00,Uncategorized,Non-perishable
Tazo Classic Chai Latte Black Tea Concentrate - 32 fl oz,Tazo Classic Chai Latte,1,each,32,fl oz,3.00,Uncategorized,Non-perishable
"Classico Tomato & Basil Pasta Sauce, 24 oz Jar",Pasta Sauce,1,each,24,oz,3.00,Produce,Perishable
"Vicks Vapo Shower Tablets, Menthol Scent Soothing Non-Medicated Shower Steamers, 3 Count",Vicks Vapo Shower Tablets,3,each,,,3.00,Uncategorized,Non-perishable
"Fresh Organic Honeycrisp Apples, 2 lb Pouch",Apples,1,each,2,lb,2.00,Produce,Perishable
"BelGioioso Fresh Mozzarella Log, Pre-Sliced Specialty Cheese, 16 oz Refrigerated Plastic Packet",Belgioioso Mozzarella Log Pre,1,oz,16,oz,2.00,Dairy,Perishable
"Thomas' Cinnamon Raisin Swirl Bread, 16 oz, Cinnamon Bread, Bag",Bread,1,oz,16,oz,2.00,Bakery,Non-perishable
"Great Value Canned Pineapple Tidbits, 20 oz",Canned Pineapple,1,each,20,oz,2.00,Produce,Perishable
(2 pack) Cantu Shea Butter for Natural Hair Complete Conditioning Co-Wash 10 oz,Cantu Shea Butter For,2,each,10,oz,2.00,Uncategorized,Non-perishable
"(2 pack) Capri Sun Fruit Punch Juice Box Pouches, 10 ct Box, 6 fl oz Pouches",Juice,2,each,6,fl oz,2.00,Uncategorized,Non-perishable
"Crest Pro‑Health Advanced Fluoride Mouthwash, Alcohol‑Free Mouth Rinse for Whitening, Energizing Mint, 32 fl oz",Crest Pro Health Advanced,1,each,32,fl oz,2.00,Uncategorized,Non-perishable
"(2 pack) Dr Teal's Epsom Salt Magnesium Soak, Relax & Relief with Eucalyptus & Spearmint, 3 lbs",Dr Teal S Epsom,2,each,3,lbs,2.00,Uncategorized,Non-perishable
"Great Value Organic Extra Virgin Olive Oil, 17 fl oz",Olive Oil,1,each,17,fl oz,2.00,Uncategorized,Non-perishable
"Frank's RedHot Kosher Original Cayenne Pepper Hot Sauce, 23.0 fl oz Bottle",Frank S Redhot Cayenne,1,each,23.0,fl oz,2.00,Uncategorized,Non-perishable
"Hidden Valley Original Ranch Dipping Sauce Salad Dressing and Topping, 20 fl oz Easy Squeeze Bottle",Ranch,1,each,20,fl oz,2.00,Uncategorized,Non-perishable
"Hillshire Snacking Protein Genoa Salami, White Cheddar Cheese, Toasted Rounds Meat Snack Kit, 2.76 oz (Refrigerated)",Lunch Meat,1,oz,2.76,oz,2.00,Dairy,Perishable
"Honest Kids Organic Super Fruit Punch Juice, 6.75 fl oz, 8 Pouches",Juice,1,each,6.75,fl oz,2.00,Uncategorized,Non-perishable
"Ken's Steak House® Creamy Caesar Salad Dressing, Topping & Spread 24 fl oz",Ken S Steak House,1,each,24,fl oz,2.00,Uncategorized,Non-perishable
"Lipton Recipe Secrets Onion Dry Recipe Soup and Dip Mix, 2 Oz, 2 Pack",Lipton Recipe Secrets Onion,2,each,2,oz,2.00,Uncategorized,Non-perishable
"McCormick Pure Vanilla Extract, 2.0 fl oz Box",Mccormick Pure Vanilla Extract,1,each,2.0,fl oz,2.00,Uncategorized,Non-perishable
"Method All-Purpose Cleaner, French Lavender, 28  fl oz",Method All Purpose Cleaner,1,each,28,fl oz,2.00,Uncategorized,Non-perishable
"Great Value Coconut Milk, 13.5 fl oz, Can",Milk,1,each,13.5,fl oz,2.00,Dairy,Perishable
"Nature's Bakery Blueberry Fig Bars, 10 Twin packs, 2 oz Each",Nature S Bakery Blueberry,1,each,2,oz,2.00,Uncategorized,Non-perishable
"Pillsbury Cinnamon Rolls with Original Icing, Canned Pastry Dough, Value 2-Pack, 16 Rolls",Pillsbury Cinnamon Rolls With,1,each,,,2.00,Uncategorized,Non-perishable
Chobani 30G Protein Low-Fat Greek Yogurt Drink Strawberries & Cream 14 fl oz Bottle,Protein Drinks,1,each,14,fl oz,2.00,Dairy,Perishable
"Great Value Reduced Calorie Sugar Free Syrup, 24 fl oz",Syrup,1,each,24,fl oz,2.00,Uncategorized,Non-perishable
"Russell Athletic Boy's Performance Mesh Shorts, 4-Pack, Sizes 4-18 & Husky",Russell Athletic Boy S,1,each,,,2.00,Uncategorized,Non-perishable
"Safety 1st Custom Fit All Purpose Strap (2pk), Decor, Charcoal, Toddler",Safety St Custom Fit,2,each,,,2.00,Uncategorized,Non-perishable
Pacific Foods Organic Gluten Free Creamy Tomato Soup - 32oz,Tomatoes,1,each,32,oz,2.00,Produce,Perishable
"Pacific Foods Organic Roasted Red Pepper and Tomato Soup, 32 oz Carton",Tomatoes,1,each,32,oz,2.00,Produce,Perishable
"Velveeta Original Pasteurized Recipe Cheese Product, 16 oz Block",Velveeta Pasteurized Recipe Cheese,1,oz,16,oz,2.00,Dairy,Perishable
"Venus Extra Smooth Sensitive Women's 5 Blade Disposable Razor, 2 count, Blue",Venus Extra Smooth Sensitive,2,each,,,2.00,Uncategorized,Non-perishable
"Vita Coco The Original Coconut Water, Nutrients & Electrolytes Rich, Pure, 16.9 fl oz Tetra",Vita Coco The Coconut,1,fl oz,16.9,fl oz,2.00,Uncategorized,Non-perishable
"(2 pack) Welch's Non-Alcoholic Sparkling Rosé Grape Juice Cocktail, 25.4 fl oz Bottle",Welch S Non Alcoholic,2,each,25.4,fl oz,2.00,Uncategorized,Non-perishable
Applegate Natural Prosciutto - 3oz,Lunch Meat,1,each,3,oz,1.00,Produce,Perishable
"Fresh Granny Smith Apples, 3 lb Bag",Apples,1,each,3,lb,1.00,Produce,Perishable
Fresh Honeycrisp Apples - 3lb Bag - Good & Gather™,Apples,1,each,3,lb,1.00,Produce,Perishable
Fresh Organic Honeycrisp Apples - 2lbs Bag - Good & Gather™,Apples,1,each,2,lbs,1.00,Produce,Perishable
"Great Value 100% Apple Juice, 96 fl oz",Juice,1,each,96,fl oz,1.00,Produce,Perishable
"Stacy’s No Artificial Colors or Flavors Sea Salt Bagel Chips Bag, 7 oz​",Crackers,1,each,7,oz,1.00,Bakery,Non-perishable
"Blue Bunny Soft Cookies and Cream Premium Frozen Dessert, 46 fl oz",Blue Bunny Soft Cookies,1,each,46,fl oz,1.00,Uncategorized,Non-perishable
"Arnold Country Style Sourdough Bread, 24 oz, Sourdough Bread, Bag",Bread,1,oz,24,oz,1.00,Bakery,Non-perishable
"Dave's Killer Bread Raisin' The Roof! Organic Breakfast Bread, Cinnamon Raisin Loaf, 18 Oz",Bread,1,oz,18,oz,1.00,Bakery,Non-perishable
"Dave's Killer Bread Thin-Sliced Good Seed Organic Bread 20.5 oz, Shelf-Stable",Bread,1,oz,20.5,oz,1.00,Bakery,Non-perishable
Dave's Killer Bread® Thin Sliced 21 Whole Grains and Seeds Organic Bread 20.5 oz. Loaf,Bread,1,oz,20.5,oz,1.00,Bakery,Non-perishable
Fleischmann's Classic Bread Machine Instant Yeast 4 oz Jar.,Bread,1,oz,4,oz,1.00,Bakery,Non-perishable
"Great Value Garlic Bread Sticks, 10.5 oz (Frozen)",Bread,1,oz,10.5,oz,1.00,Bakery,Non-perishable
"Great Value Pre-Sliced Cinnamon Raisin Bread, 16 oz",Cinnamon Raisin Bread,1,oz,16,oz,1.00,Bakery,Non-perishable
"Pepperidge Farm Farmhouse Brioche Bread, 22 oz Loaf",Bread,1,oz,22,oz,1.00,Bakery,Non-perishable
Sliced Sourdough Bread - 17oz - Favorite Day™,Bread,1,oz,17,oz,1.00,Bakery,Non-perishable
Cabot Creamery Lowfat Plain Greek Yogurt 2 lb (Refrigerated Tub),Cabot Creamery Lowfat Greek,1,each,2,lb,1.00,Dairy,Perishable
"Dole Pineapple Tidbits in 100% Fruit Juice, 20 oz Can",Canned Pineapple,1,each,20,oz,1.00,Produce,Perishable
"Great Value Canned Crushed Pineapple, 20 oz",Canned Pineapple,1,each,20,oz,1.00,Produce,Perishable
"Cantu Care for Kids Paraben & Sulfate-Free Conditioning Detangling Spray, 6 fl oz",Cantu Care For Kids,1,each,6,fl oz,1.00,Uncategorized,Non-perishable
"Cantu Sulfate-Free Hydrating Cream Conditioner, 25 fl oz",Conditioner,1,each,25,fl oz,1.00,Uncategorized,Non-perishable
"Cascade Complete Dishwasher Detergent Liquid Gel, Dish Detergent, Dish Soap, Fresh, 120 fl oz",Dishwasher Detergent,1,each,120,fl oz,1.00,Uncategorized,Non-perishable
Cascade Complete Dishwashing Liquid Gel Fresh Detergent - 120 fl oz,Cascade Complete Dishwashing Liquid,1,each,120,fl oz,1.00,Uncategorized,Non-perishable
"Character Toddler Boy Briefs, 6- Pack, Sizes 2T-4T",Character Toddler Boy Briefs,1,each,,,1.00,Uncategorized,Non-perishable
"Great Value Chocolate Chip Cookie Dough Ice Cream, 48 fl oz",Ice Cream,1,each,48,fl oz,1.00,Uncategorized,Non-perishable
"COLUMBUS, Peppered Salami, Sliced Charcuterie Meat, 10oz Pack",Columbus Peppered Salami Sliced,1,each,10,oz,1.00,Uncategorized,Perishable
"Great Value Cookies & Cream Ice Cream, 48 fl oz",Ice Cream,1,each,48,fl oz,1.00,Uncategorized,Non-perishable
Core Power Elite Vanilla 42G Protein Shake - 14 fl oz Bottle,Protein Milk,1,each,14,fl oz,1.00,Uncategorized,Non-perishable
"Dawn Powerwash Spray, Dish Soap, Dishwashing Liquid, Fresh, 1 Starter Kit, 16 Fl Oz",Dish Soap,1,each,16,fl oz,1.00,Uncategorized,Non-perishable
"Del Monte Fresh Cut Green Beans, Canned Vegetables, 14.5 oz Can (Pack of 4)",Del Monte Cut Green,1,each,14.5,oz,1.00,Pantry,Non-perishable
"Dr Teal's Kids 3-in-1 Bubble Bath, Body Wash & Shampoo with Melatonin & Essential Oil, 20 fl oz",Body Soap,1,each,20,fl oz,1.00,Uncategorized,Non-perishable
"Equate 70% Isopropyl Alcohol Antiseptic, 32 fl oz",Equate Isopropyl Alcohol Antiseptic,1,each,32,fl oz,1.00,Uncategorized,Non-perishable
"Finish Jet-Dry Rinse Aid, Dishwasher Rinse & Drying Agent - 8.45 fl oz: Plastic Bottle,",Dishwasher Detergent,1,each,8.45,fl oz,1.00,Uncategorized,Non-perishable
"FRAM Extra Guard Oil Filter, CH9713, 10K mile Filter for Dodge, Fiat and Jeep Vehicles Fits select: 2012-2019 FIAT 500, 2013-2016 DODGE DART",Fram Extra Guard Oil,1,each,,,1.00,Uncategorized,Non-perishable
"FRAM Extra Guard Oil Filter, PH4967, 10K Miles, Replacement Oil Filter Fits Select Vehicles",Fram Extra Guard Oil,1,each,,,1.00,Uncategorized,Non-perishable
"FRAM Ultra Synthetic Oil Filter, XG4967, 20K mile Replacement Filter for Select Toyota Vehicles",Fram Ultra Synthetic Oil,1,each,,,1.00,Uncategorized,Non-perishable
"Gillette Satin Care Ultra Sensitive Women's Shaving Gel Twin Pack, Fragrance-Free, 14 oz",Gillette Satin Care Ultra,1,each,14,oz,1.00,Uncategorized,Non-perishable
"Honest Kids Organic Appley Ever After Fruit Juice, 6 fl oz, 8 Juice Boxes",Juice,1,each,6,fl oz,1.00,Produce,Perishable
"Horizon Organic Half and Half Carton, 32 fl oz​",Horizon Half And Half,1,each,32,fl oz,1.00,Uncategorized,Non-perishable
"Horizon Organic Real Dairy Homestyle Vanilla Coffee Creamer Carton, 24 fl oz",Coffee Creamer,1,each,24,fl oz,1.00,Uncategorized,Non-perishable
"Pepperidge Farm Butter Hot Dog Buns, Top Sliced, 8-Pack Bag",Hot Dog Buns,1,each,,,1.00,Bakery,Non-perishable
"Great Value Individually Plastic Wrapped Singles American Cheese Product, 16 oz, 24 Slices",Sliced Cheese,1,each,16,oz,1.00,Dairy,Perishable
902 Ink Cartridges Compatible for HP 902XL Ink Cartridges (4-Pack),Ink Cartridges Compatible For,1,each,,,1.00,Uncategorized,Non-perishable
Just Bare Lightly Breaded Chicken Breast Strips - Frozen - 24oz,Just Bare Lightly Breaded,1,oz,24,oz,1.00,Bakery,Perishable
"King Arthur Baking Company Non-GMO Project Verified, Certified Kosher Unbleached All Purpose Flour, 10 lb Bag",Flour,1,each,10,lb,1.00,Uncategorized,Non-perishable
"King Arthur Baking Company Non-GMO Project Verified, Certified Kosher Unbleached All Purpose Flour, 5 lb Bag",Flour,1,each,5,lb,1.00,Uncategorized,Non-perishable
"Land O Lakes Unsalted Butter, 4 Sticks, 1 lb Pack",Butter,1,each,1,lb,1.00,Uncategorized,Non-perishable
Little Debbie Big Pack Christmas Tree Cakes,Little Debbie Big Pack,1,each,,,1.00,Uncategorized,Non-perishable
"Lunchables Turkey & Cheddar Value Pack, 1.9 oz Pack",Lunchables Turkey Cheddar Value,1,each,1.9,oz,1.00,Meat,Non-perishable
"Maple Grove Farms Pure Maple Syrup, Kosher, 12.5 fl oz",Syrup,1,each,12.5,fl oz,1.00,Uncategorized,Non-perishable
"Method Moisturizing Conditioner, Simply Nourish, Sulfate Free, and Cruelty Free, 13.5 fl oz",Conditioner,1,each,13.5,fl oz,1.00,Uncategorized,Non-perishable
"Method Repairing Shampoo, Island Mist, 14 fl oz",Shampoo,1,each,14,fl oz,1.00,Uncategorized,Non-perishable
"Great Value Evaporated Milk, 12 fl oz",Evaporated Milk,1,fl oz,12,fl oz,1.00,Dairy,Perishable
"Horizon Organic High Vitamin D Whole Milk, High Vitamin D Whole, 64 fl oz Carton",Milk,1,fl oz,64,fl oz,1.00,Dairy,Perishable
"Oatly Original Oatmilk, Dairy-Free Milk, 64 fl oz Refrigerated Carton",Oat Milk,1,fl oz,64,fl oz,1.00,Dairy,Perishable
"Mucinex,Children's Night Time, Multi-Symptom Cold Relief, Mixed Berry Flavor, 4fl oz, Plastic Bottle",Mucinex Children S Night,1,each,4,fl oz,1.00,Uncategorized,Non-perishable
"Mucinex Children's Stuffy Nose & Chest Congestion Relief, Kids Medicine, Very Berry Flavor, 4 fl oz",Mucinex Children S Stuffy,1,each,4,fl oz,1.00,Uncategorized,Non-perishable
"Mucinex Fast-Max Cold, Flu, & Sore Throat Relief Medicine, OTC Cough Suppressant, Expectorant, 6 fl oz",Mucinex Fast Max Cold,1,each,6,fl oz,1.00,Uncategorized,Non-perishable
"Mucinex Fast-Max Kickstart Severe Cold and Flu Medicine, OTC Cough Relief, Menthol Flavor, 6 fl oz",Mucinex Fast Max Kickstart,1,each,6,fl oz,1.00,Uncategorized,Non-perishable
"Mucinex Fast-Max Severe Congestion & Cough Medicine, OTC Sinus/Nasal Decongestant, Expectorant, 6 fl oz",Mucinex Fast Max Severe,1,each,6,fl oz,1.00,Uncategorized,Non-perishable
"Mucinex Nightshift Sinus Medicine, OTC Fever Reducer, Cough Suppressant, Nasal Decongestant, 6 fl oz",Mucinex Nightshift Sinus Medicine,1,each,6,fl oz,1.00,Uncategorized,Non-perishable
"Native Coconut & Vanilla Body Wash, 18 fl oz",Body Soap,1,each,18,fl oz,1.00,Uncategorized,Non-perishable
Native Limited Edition Vanilla Cream & Pumpkin Body Wash 18 FL OZ,Body Soap,1,each,18,fl oz,1.00,Uncategorized,Non-perishable
Native Moisturizing Conditioner Coconut and Vanilla 16.5 fl oz,Conditioner,1,each,16.5,fl oz,1.00,Uncategorized,Non-perishable
"Ocean Spray® Cranberry Juice Cocktail, 64 fl oz Bottle",Ocean Spray Cranberry Juice,1,each,64,fl oz,1.00,Uncategorized,Non-perishable
"Olay Firming Body Lotion, Hydrating, Collagen, Pump 17 fl oz",Olay Firming Body Lotion,1,each,17,fl oz,1.00,Uncategorized,Non-perishable
"Olay Nourishing Body Wash for women, Hyaluronic Acid, 20 fl oz",Body Soap,1,each,20,fl oz,1.00,Uncategorized,Non-perishable
"Oregon Chai Original Chai Concentrate, 32 Fluid Ounces (Pack of 1), Organic & Non-GM)",Oregon Chai Chai Concentrate,1,each,,,1.00,Uncategorized,Non-perishable
"Pen + Gear Economy White Poster Board, 22""x28"", 1 Count",Pen Gear Economy White,1,each,,,1.00,Uncategorized,Non-perishable
"Pepperidge Farm Sesame Topped Hamburger Buns, 8-Pack Bag",Hamburger Buns,1,each,,,1.00,Bakery,Non-perishable
"Great Value Organic Pomegranate Juice, 32 fl oz",Juice,1,fl oz,32,fl oz,1.00,Uncategorized,Non-perishable
Pompeian Red Wine Vinegar - 16 fl oz,Pompeian Red Wine Vinegar,1,each,16,fl oz,1.00,Uncategorized,Non-perishable
Chobani 30g Protein Vanilla Ice Cream Greek Yogurt Drink - 30g Protein 14 fl oz,Protein Drinks,1,each,14,fl oz,1.00,Dairy,Perishable
"Purina One True Instinct Dry Dog Food for Adult Dogs, High Protein Real Turkey & Venison, 7.4 lb Bag",Purina One True Instinct,1,each,7.4,lb,1.00,Meat,Non-perishable
"RITZ Peanut Butter Sandwich Crackers, Lunch Snacks, 20 Snack Packs (6 Crackers Per Pack)",Crackers,1,each,,,1.00,Uncategorized,Non-perishable
"Russell Athletic Boys Runner Tech Short Sleeve T-Shirt, 4-Pack, Sizes 4-18 & Husky",Russell Athletic Boys Runner,1,each,,,1.00,Uncategorized,Non-perishable
"Smash Kitchen Organic Classic Extra Virgin Olive Oil, 16.9 fl oz",Olive Oil,1,each,16.9,fl oz,1.00,Uncategorized,Non-perishable
"SoCozy Kid's Swim 3-in-1 Shampoo Conditioner Body Wash for All Hair Types, with Activated Charcoal, 10.5 fl oz",Body Soap,1,each,10.5,fl oz,1.00,Uncategorized,Non-perishable
"Soundcore AeroClip Open-Ear Earbuds, Midnight Black, Retail Packaging",Soundcore Aeroclip Open Ear,1,each,,,1.00,Uncategorized,Non-perishable
BUBLY 24/12,Sparkling Water,1,fl oz,,,1.00,Beverages,Non-perishable
"Great Value Kosher Spears Dill Pickle Fresh Pack, 24 fl oz Jar",Spears Dill Pickle Pack,1,each,24,fl oz,1.00,Uncategorized,Non-perishable
Tazo Chai Pumpkin Spice Latte Tea Concentrate - 32 fl oz,Tazo Chai Pumpkin Spice,1,each,32,fl oz,1.00,Uncategorized,Non-perishable
Tazo Organic Tea Latte Chai Black Tea - 32 fl oz,Tazo Tea Latte Chai,1,each,32,fl oz,1.00,Uncategorized,Non-perishable
"Great Value Crushed Tomatoes with Tomato Puree, 28 oz",Tomatoes,1,each,28,oz,1.00,Produce,Perishable
"Great Value Mild Diced Tomatoes with Green Chilies, 10 oz",Tomatoes,1,each,10,oz,1.00,Produce,Perishable
"Great Value Tomato Sauce, 8 oz Can",Tomatoes,1,each,8,oz,1.00,Produce,Perishable
"TPH BY TARAJI Ride or Die Biotin Leave in Conditioner Spray Detangler for Dry Hair | Strength, Moisturizing & Anti Frizz | Natural + Curly Hair Product | Color Safe, 4 oz.",Conditioner,1,each,4,oz,1.00,Uncategorized,Non-perishable
"Turkey Hill Choco Mint Chip Premium Ice Cream, 46 fl oz",Ice Cream,1,each,46,fl oz,1.00,Meat,Non-perishable
Turkey Hill Chocolate Chip Cookie Dough Ice Cream 46 fl oz Tub,Ice Cream,1,each,46,fl oz,1.00,Meat,Non-perishable
"Great Value Vanilla Bean Flavored Ice Cream, 48 fl oz",Ice Cream,1,each,48,fl oz,1.00,Uncategorized,Non-perishable
"Great Value Vegetable Oil, Heart Healthy and Versatile, 48 fl oz Bottle",Vegetable Oil Heart Healthy,1,each,48,fl oz,1.00,Uncategorized,Non-perishable
Wet Brush Go Green Tea Tree Oil Treatment Comb - Green 1CT,Wet Brush Go Green,1,each,,,1.00,Uncategorized,Non-perishable
