canonical_item,category_guess,perishable_guess,base_unit,size_unit,first_date,last_date,weeks_observed_all,total_qty_all,total_qty_13w,units_per_week_all,units_per_week_13w,occurrences_all,occurrences_13w,raw_examples
Just Bare Lightly Breaded,Bakery,Perishable,oz,oz,2026-01-15,2026-01-15,61.71,1.00,1.00,0.0162,0.0769,1,1,Just Bare Lightly Breaded Chicken Breast Strips - Frozen - 24oz
Oregon Chai Chai Concentrate,Uncategorized,Non-perishable,each,,2026-01-20,2026-01-20,61.71,1.00,1.00,0.0162,0.0769,1,1,"Oregon Chai Original Chai Concentrate, 32 Fluid Ounces (Pack of 1), Organic & Non-GM)"
Oral B Floss Glide,Uncategorized,Non-perishable,each,,2026-01-27,2026-01-27,61.71,1.00,1.00,0.0162,0.0769,1,1,"Oral‑B Floss, Glide Ultra Deep Clean Floss Picks 75 Count"
Tazo Green Ginger Tea,Uncategorized,Non-perishable,each,,2026-01-28,2026-01-28,61.71,1.00,1.00,0.0162,0.0769,1,1,Tazo Organic Green Ginger Tea Bags - 16ct
Tazo Passion Herbal Tea,Uncategorized,Non-perishable,each,,2026-01-28,2026-01-28,61.71,1.00,1.00,0.0162,0.0769,1,1,Tazo Passion Herbal Tea Bags - 20ct
Tazo Wild Sweet Orange,Uncategorized,Non-perishable,each,,2026-01-28,2026-01-28,61.71,1.00,1.00,0.0162,0.0769,1,1,Tazo Wild Sweet Orange Caffeine-Free Herbal Tea Bags - 20ct
Cascade Complete Dishwashing Liquid,Uncategorized,Non-perishable,each,fl oz,2026-01-28,2026-01-28,61.71,1.00,1.00,0.0162,0.0769,1,1,Cascade Complete Dishwashing Liquid Gel Fresh Detergent - 120 fl oz
Goodnites Boys Disposable Nighttime,Uncategorized,Non-perishable,each,,2026-01-28,2026-01-28,61.71,1.00,1.00,0.0162,0.0769,1,1,Goodnites Boys' Disposable Nighttime Underwear - Size XS - 44ct | HRA/FSA Eligible
Character Toddler Boy Briefs,Uncategorized,Non-perishable,each,,2026-02-04,2026-02-04,61.71,1.00,1.00,0.0162,0.0769,1,1,"Character Toddler Boy Briefs, 6- Pack, Sizes 2T-4T"
Dum Dums Valentines Cards,Uncategorized,Non-perishable,each,oz,2026-02-11,2026-02-11,61.71,1.00,1.00,0.0162,0.0769,1,1,"Dum Dums Valentines cards for kids classroom, Valentines Party Favors, Original Flavors Lollipops Valentines Candy Bouquets, 8.6 oz, 50 Ct Box"
Dixie To Go Disposable,Uncategorized,Non-perishable,each,oz,2026-02-11,2026-02-11,61.71,1.00,1.00,0.0162,0.0769,1,1,"Dixie To Go Disposable Paper Cups, 12 oz, Multi-Color, 36 Count"
Horizon Half And Half,Uncategorized,Non-perishable,each,fl oz,2026-02-11,2026-02-11,61.71,1.00,1.00,0.0162,0.0769,1,1,"Horizon Organic Half and Half Carton, 32 fl oz​"
Coffee Creamer,Uncategorized,Non-perishable,each,fl oz,2026-02-11,2026-02-11,61.71,1.00,1.00,0.0162,0.0769,1,1,"Horizon Organic Real Dairy Homestyle Vanilla Coffee Creamer Carton, 24 fl oz"
Dr Teal S Epsom,Uncategorized,Non-perishable,each,lbs,2026-03-02,2026-03-02,61.71,1.00,1.00,0.0162,0.0769,1,1,"(2 pack) Dr Teal's Epsom Salt Magnesium Soak, Relax & Relief with Eucalyptus & Spearmint, 3 lbs"
Plum Organics Jammy Sammy,Uncategorized,Non-perishable,each,oz,2025-01-12,2025-04-19,61.71,5.00,0.00,0.0810,0.0000,3,0,"Plum Organics® Jammy Sammy® Snack Size Sandwich Bar Blueberry + Oatmeal 5-Count Box/1.02oz Bars | (3 pack) Plum Organics Jammy Sammy Snack Bars, Blueberry and Oatmeal, 1.02 oz Bars, 5 Count"
Plum Organics Teensy Snacks,Uncategorized,Non-perishable,each,oz,2025-01-12,2025-02-17,61.71,6.00,0.00,0.0972,0.0000,3,0,Plum Organics® Teensy® Snacks Mixed Berry Soft Fruit Snacks .35oz Pouch/5-Count Box
Starbucks Peppermint Hot Cocoa,Uncategorized,Non-perishable,each,oz,2025-01-16,2025-01-16,61.71,1.00,0.00,0.0162,0.0000,1,0,Starbucks Peppermint Hot Cocoa Mix - 6oz/6ct
Waffles Cones,Uncategorized,Non-perishable,each,oz,2025-01-18,2025-01-18,61.71,1.00,0.00,0.0162,0.0000,1,0,"Great Value Waffles Cones, 7 oz, 12 Count"
Ice Cream,Uncategorized,Non-perishable,each,fl oz,2025-01-18,2025-04-19,61.71,5.00,0.00,0.0810,0.0000,5,0,"Great Value Cookies & Cream Ice Cream, 48 fl oz | Great Value Vanilla Bean Flavored Ice Cream, 48 fl oz | Great Value Chocolate Chip Cookie Dough Ice Cream, 48 fl oz | Turkey Hill Chocolate Chip Cookie Dough Ice Cream 46 fl oz Tub | Turkey Hill Choco Mint Chip Premium Ice Cream, 46 fl oz"
